Email_ID,Email_Text,Sender,Subject,Message_Length,Number_of_Links,Number_of_Special_Characters,Number_of_Capital_Letters,Label
EML00001,"Claim your FREE reward now a refund of your recent purchase. Please confirm your credit card number and CVV to process  the refund. Reply immediately to http://job-offer-cash.click/apply with your bank details. 100% guaranteed, no risk involved!",support@bank-security-alert.info,Limited Time Offer - 90% OFF,245,1,2,10,Ham
EML00002,"Dear Customer, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Sincerely, Ananya Iyer",team@workplace.net,Scheduled System Maintenance,156,0,0,7,Spam
EML00003,"Dear Sir/Madam, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Regards, Divya Krishnan",manager@projectteam.org,Your Order Has Been Shipped,158,0,0,8,Spam
EML00004,"Your package could not be delivered our records show your subscription is about to expire, please update your payment information soon. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Time is running out, claim your reward TODAY.",offers@luxury-deals-cheap.shop,FINAL NOTICE: Account Suspension,254,1,3,8,Ham
EML00005,"Limited Time Offer just for YOU a chance to win a brand new car by simply clicking  the link and filling out a short form with your details. Call our toll-free hotline NOW or click http://winner-notification.club/claim 100% guaranteed, no risk involved!",no-reply@free-money-fast.biz,Work From Home - Earn $5000/Week,253,1,2,10,Ham
EML00006,"Exclusive deal available for 24 hours only cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Follow this link http://secure-bank-verify.info/login to verify.",deals@discount-mega-sale.club,Claim Your FREE Reward Today,212,1,0,2,Ham
EML00007,"URGENT: Your account requires immediate action a special discount of 90% off on luxury watches. Hurry, offer valid only for the next few hours! Reply immediately to http://job-offer-cash.click/apply with your bank details. This offer will not be repeated. Act NOW!!!",deals@discount-mega-sale.club,Limited Time Offer - 90% OFF,266,1,5,14,Ham
EML00008,"FINAL NOTICE regarding your payment an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Reply immediately to http://job-offer-cash.click/apply with your bank details. Time is running out, claim your reward TODAY.",hr@work-from-home-jobs.top,Exclusive Investment Opportunity,273,1,1,19,Ham
EML00009,"FINAL NOTICE regarding your payment cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Confirm here: http://account-alert-update.site/confirm",offers@luxury-deals-cheap.shop,FREE iPhone 15 Pro - Claim Now,195,1,0,12,Ham
EML00010,CONGRATULATIONS! You have been selected a brand new iPhone 15 Pro absolutely free of cost. Click the link below to claim your prize before it expires! Visit http://free-money-fast.biz/claim to proceed immediately.,winner@international-lottery.org,Exclusive Investment Opportunity,213,1,2,20,Ham
EML00011,Act now before it's too late your recent order requires additional verification before it can be processed further.  This offer will not be repeated. Act NOW!!!,deals@discount-mega-sale.club,Work From Home - Earn $5000/Week,160,0,3,6,Ham
